City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
431,Beloye,48.4952,39.0505,light rain,55.53,88,100,12.39,UA,2021-04-20 13:16:28
432,Langfang,39.5097,116.6947,light rain,70.0,53,100,13.65,CN,2021-04-20 13:16:28
433,Mocuba,-16.8392,36.9856,light rain,76.39,76,98,7.58,MZ,2021-04-20 13:16:28
434,Yima,34.7381,111.8839,light rain,52.57,96,100,9.31,CN,2021-04-20 13:16:29
435,Nalut,30.3333,10.85,clear sky,79.47,12,0,5.84,LY,2021-04-20 13:16:29
436,Vila Velha,-20.3297,-40.2925,few clouds,78.8,78,20,1.19,BR,2021-04-20 13:16:29
437,Port Blair,11.6667,92.75,few clouds,83.25,64,24,3.76,IN,2021-04-20 13:15:12
438,Atambua,-9.1061,124.8925,overcast clouds,72.95,81,95,2.84,ID,2021-04-20 13:16:30
439,Ola,59.5833,151.2833,overcast clouds,33.64,82,100,28.95,RU,2021-04-20 13:16:30
440,Beatrice,40.2681,-96.747,clear sky,33.01,93,1,4.61,US,2021-04-20 13:16:30
441,Galeana,24.8333,-100.0667,overcast clouds,44.01,73,100,1.99,MX,2021-04-20 13:16:30
442,Coos Bay,43.3665,-124.2179,overcast clouds,50.0,88,100,5.73,US,2021-04-20 13:14:07
443,Urengoy,65.9667,78.3667,overcast clouds,20.61,88,100,10.13,RU,2021-04-20 13:16:31
444,Torbay,47.6666,-52.7314,overcast clouds,39.0,93,90,31.07,CA,2021-04-20 13:16:31
445,Garowe,8.4054,48.4845,overcast clouds,91.92,27,97,5.75,SO,2021-04-20 13:16:31
446,Kuah,6.3265,99.8432,few clouds,84.0,89,20,9.95,MY,2021-04-20 13:16:32
447,Touros,-5.1989,-35.4608,broken clouds,84.2,70,75,9.22,BR,2021-04-20 13:16:32
448,Japura,-0.3167,102.35,overcast clouds,76.3,90,99,3.15,ID,2021-04-20 13:16:32
449,Methoni,36.8197,21.7049,scattered clouds,64.4,42,40,5.75,GR,2021-04-20 13:16:32
450,Hoa Binh,20.8133,105.3383,few clouds,82.4,83,20,12.66,VN,2021-04-20 13:16:33
451,La Ronge,55.1001,-105.2842,scattered clouds,21.2,79,40,4.61,CA,2021-04-20 13:16:33
452,Guiglo,6.5456,-7.4966,overcast clouds,92.91,47,90,3.94,CI,2021-04-20 13:16:33
453,Evensk,61.95,159.2333,overcast clouds,30.65,81,100,14.2,RU,2021-04-20 13:16:34
454,Tazovskiy,67.4667,78.7,clear sky,5.83,93,7,6.24,RU,2021-04-20 13:16:34
455,Shaunavon,49.6501,-108.4181,scattered clouds,21.2,86,31,8.05,CA,2021-04-20 13:16:34
456,College,64.8569,-147.8028,broken clouds,36.0,80,75,4.21,US,2021-04-20 13:16:35
457,Havoysund,70.9963,24.6622,clear sky,51.8,46,0,9.22,NO,2021-04-20 13:16:35
458,Belle Glade,26.6845,-80.6676,overcast clouds,75.99,89,97,4.0,US,2021-04-20 13:15:16
459,Manama,26.2154,50.5832,clear sky,91.4,22,0,6.91,BH,2021-04-20 13:15:31
460,Faya,18.3851,42.4509,scattered clouds,78.8,22,40,5.75,SA,2021-04-20 13:16:35
461,Vagamo,61.8751,9.0967,broken clouds,44.11,90,63,6.15,NO,2021-04-20 13:16:36
462,Santa Cruz,-17.8,-63.1667,broken clouds,75.2,88,75,3.44,BO,2021-04-20 13:15:04
463,Izmayil,45.3493,28.8408,few clouds,57.2,67,20,13.8,UA,2021-04-20 13:16:36
464,Tateyama,34.9833,139.8667,clear sky,64.4,59,0,1.14,JP,2021-04-20 13:16:36
465,Ongandjera,-17.8833,15.0667,clear sky,85.06,20,0,8.25,NA,2021-04-20 13:16:36
466,Bowen,-20.0167,148.2333,overcast clouds,73.4,78,90,5.75,AU,2021-04-20 13:16:37
467,Yerbogachen,61.2767,108.0108,overcast clouds,22.28,87,100,7.45,RU,2021-04-20 13:16:37
468,Kampene,-3.6,26.6667,moderate rain,76.17,93,100,2.44,CD,2021-04-20 13:16:37
