City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
340,San Ramon De La Nueva Oran,AR,77.0,broken clouds,-23.1322,-64.32600000000001,Hotel Residencial Centro
341,Ritchie,ZA,82.4,clear sky,-29.038,24.6028,Riverside County Club Modderrivier
344,Tual,ID,82.2,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
346,Talara,PE,75.2,clear sky,-4.5772,-81.2719,Hostal Oro Negro
348,Salina Cruz,MX,77.83,few clouds,16.1667,-95.2,Amerik HOTEL
357,Ransang,PH,79.83,overcast clouds,8.9603,117.5828,Black and Crystal Sand Campsite
358,Namatanai,PG,80.62,light rain,-3.6667,152.4333,Namatanai Hotel
363,Itarema,BR,82.72,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
364,Thinadhoo,MV,82.81,few clouds,0.5333,72.9333,
365,Bairiki,KI,82.4,light rain,1.3292,172.9752,Tarawa Boutique Hotel
366,Hai Duong,VN,82.4,broken clouds,20.9333,106.3167,Chau A Hotel
373,Victoria,HK,75.0,few clouds,22.2855,114.1577,Mini Hotel Central
378,Rembang,ID,77.95,few clouds,-6.707000000000001,111.3498,Kencana Hotel Rembang
383,Saint-Paul,RE,80.6,light rain,-21.0096,55.2707,Boucan Canot
387,Barahona,DO,80.6,few clouds,18.2085,-71.1008,Hotel Caribe
393,Merauke,ID,81.03,overcast clouds,-8.4667,140.3333,
396,Taybad,IR,78.76,clear sky,34.74,60.7756,لی پوش jean center
407,Boa Vista,BR,82.4,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
416,Kieta,PG,80.78,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
418,Farah,AF,80.85,clear sky,32.5,62.5,
422,Sao Joao Da Barra,BR,78.8,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
424,Tokat,TR,75.2,broken clouds,40.4167,36.5833,
430,Namibe,AO,86.09,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
433,Mocuba,MZ,76.39,light rain,-16.8392,36.9856,Phama Lodge
435,Nalut,LY,79.47,clear sky,30.3333,10.85,
436,Vila Velha,BR,78.8,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
437,Port Blair,IN,83.25,few clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
446,Kuah,MY,84.0,few clouds,6.3265,99.8432,Azio Hotel
447,Touros,BR,84.2,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
448,Japura,ID,76.3,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
450,Hoa Binh,VN,82.4,few clouds,20.8133,105.3383,Hoa Dao Hotel
458,Belle Glade,US,75.99,overcast clouds,26.6845,-80.6676,Mid-City Trailer Park
460,Faya,SA,78.8,scattered clouds,18.3851,42.4509,مقبرة ال مجمل
462,Santa Cruz,BO,75.2,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
468,Kampene,CD,76.17,moderate rain,-3.6,26.6667,
477,Kloulklubed,PW,77.0,broken clouds,7.0419,134.2556,Storyboard Beach Resort
483,Cacoal,BR,77.04,broken clouds,-11.4386,-61.4472,Hotel BR 364
486,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
487,Atar,MR,80.6,few clouds,20.5169,-13.0499,Oumou Elghoura
494,Acarau,BR,82.06,broken clouds,-2.8856,-40.12,castelo pizzaria
497,Awjilah,LY,78.21,clear sky,29.1081,21.2869,
504,Birjand,IR,78.8,clear sky,32.8663,59.2211,Birjand Tourist Hotel
505,Kimbe,PG,78.08,light rain,-5.5502,150.1429,Kimbe Bay Hotel
506,Panaba,MX,79.23,overcast clouds,21.2833,-88.2667,Posada rosario
511,Marawi,PH,79.0,overcast clouds,7.9986,124.2928,Derogongan Residence
513,Moerai,PF,76.82,broken clouds,-22.4333,-151.3333,Le Manotel
515,Inirida,CO,80.91,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
521,Male,MV,87.8,few clouds,4.1748,73.5089,Hotel Octave Maldives
525,Mubende,UG,75.92,overcast clouds,0.5606,31.39,Nakayima Hotel
532,Esmeraldas,BR,77.0,clear sky,-19.7625,-44.3139,Forasteiro Pousada - Hotel
533,Cayenne,GF,78.8,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
537,Cabuyaro,CO,79.32,overcast clouds,4.2817,-72.794,Hotel La Cuarta
541,Zhuhai,CN,75.2,light rain,22.2769,113.5678,Nanyang Seascape Hotel Zhuhai Hotel
548,Porto Walter,BR,75.51,scattered clouds,-8.2686,-72.7439,Secretaria de saúde
549,Mount Isa,AU,77.0,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
553,Akyab,MM,82.06,clear sky,20.15,92.9,Hotel Memory
558,Samdari,IN,86.76,broken clouds,25.8167,72.5833,Karnoba Ki Dhani
565,Beloha,MG,77.31,scattered clouds,-25.1667,45.05,
570,Salalah,OM,86.0,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
575,Sao Gabriel Da Cachoeira,BR,78.8,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
584,Luba,GQ,87.8,few clouds,3.4568,8.5547,
588,Tefe,BR,80.6,scattered clouds,-3.3542,-64.7114,Aracati Hotel
590,Gizo,SB,83.32,overcast clouds,-8.103,156.8419,Imagination Island
595,Coro,VE,80.71,overcast clouds,11.4045,-69.6734,Federal
598,Bosaso,SO,82.4,scattered clouds,11.2842,49.1816,Red Sea Hotel
599,Ugoofaaru,MV,83.71,overcast clouds,5.6667,73.0,Ungoofaaru Inn
601,Brazzaville,CG,89.6,few clouds,-4.2658,15.2832,Hotel Murex
603,Machiques,VE,83.28,overcast clouds,10.0644,-72.545,hotel el markes
608,Morondava,MG,82.69,overcast clouds,-20.2833,44.2833,La Case Bambou
612,Kudahuvadhoo,MV,83.01,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
613,Emerald,AU,77.0,overcast clouds,-23.5333,148.1667,The Irish Village
617,Rio Branco,BR,75.2,broken clouds,-9.9747,-67.81,João Paulo Hotel
621,Basco,PH,76.03,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
622,Zeerust,ZA,77.0,clear sky,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
625,Livingstone,ZM,80.6,clear sky,-17.8419,25.8543,Gloria's Bed and Breakfast
631,Odweyne,SO,88.5,broken clouds,9.4092,45.06399999999999,Eng Hiirey House
632,Praia,CV,80.6,broken clouds,14.9215,-23.5087,LT Aparthotel
633,Mahibadhoo,MV,83.35,broken clouds,3.7833,72.9667,Omadhoo Inn
635,Sao Joao Batista,BR,77.0,clear sky,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
641,Namuac,PH,76.44,overcast clouds,18.6109,121.1657,Mariner's Hub
642,Sokoni,TZ,86.0,light rain,-6.4333,39.55,Ujamaa Beach Resort
643,Sur,OM,86.41,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
648,Tiznit,MA,77.9,clear sky,29.5833,-9.5,
649,Ebebiyin,GQ,84.2,broken clouds,2.1511,11.3353,Vallée-du-Ntem
650,Meulaboh,ID,80.76,scattered clouds,4.1363,96.1285,Kost Pria
653,Labuan,MY,78.8,few clouds,5.2767,115.2417,Tiara Labuan Hotel
654,Champerico,GT,77.0,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
659,Port-Gentil,GA,87.8,few clouds,-0.7193,8.7815,Fengshui Residence
661,Maun,BW,82.4,few clouds,-19.9833,23.4167,Enviro Villa
662,Mtambile,TZ,79.47,overcast clouds,-5.3833,39.7,
664,Aleppo,SY,89.65,overcast clouds,36.25,37.5,
679,Myitkyina,MM,80.55,broken clouds,25.3833,97.4,Shwe Phyu Hotel
683,Ternate,ID,81.45,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
685,Poum,NC,77.63,clear sky,-20.2333,164.0167,Gîte kajeon
692,Tutoia,BR,83.35,overcast clouds,-2.7619,-42.2744,Pousada Guará's
694,Kupang,ID,76.57,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
695,Luena,AO,82.4,broken clouds,-11.7833,19.9167,Hotel Kandamba
697,Mizan Teferi,ET,81.7,overcast clouds,6.9833,35.5833,Hotel Salayish | ሆቴል ሳላይሽ
699,Lubao,PH,82.4,broken clouds,14.9167,120.55,Hacienda Gracia
700,Olinda,BR,80.6,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
702,Khash,IR,79.48,clear sky,28.2211,61.2158,دفتر پیشخوان دولت جمال زهی (خالد)
706,Phangnga,TH,80.6,few clouds,8.4509,98.5298,Sunimit Mansion
